Speaker,Dialogue
Mike,uh huh
Phoebe,so you don't think I'm a total freak
Mike,No. well look can I think your weird and also cool for telling me the truth and also wanna kiss you.
Phoebe,"I guess so, can I. can I think it's cool that you kiss me and also wanna kiss you again and umm, be a little concerned about the magic markers."
Mike,Definitely
Ross,This is Vicrum.
Chandler,Hi honey I'm home!
Monica,"Hi, how was your flight?"
Chandler,oh it was great.
Monica,"Here why don't you sit down, get yourself comfortable because I. have a little surprise for you."
Chandler,"well, well, well it must be five in Tulsa because it's six o clock IN NYC!"
Monica,Ok This is how much I love you.
Chandler,Honey why am I watching a bunch of sharks swimming around.
Monica,Is this not the good part? Do you want me to fast forward to something a little toothier.
Chandler,no I'm not quite sure you got the right movie that's all.
Monica,"Oh well this is the only one they had at our video store, but they did have something called crocodile killers. Or does it always have to be sharks?"
Chandler,does what always have to be sharks.
Monica,"Honey look we can do something else, do you want me to get into the tub and thrash."
Chandler,What's going on?
Monica,"sweetie it's ok, I still love you, let me be a part of this."
Chandler,let ME be a part of this!
Monica,I saw what you were doing in Tulsa. angry sharks turn you on!
Chandler,no they don't
Monica,then why were you watching them and giving YOURSELF a treat.
Chandler,"OH MY GOD! When you came in I switched the channel, I was just watching regular porn"
Monica,really?
Chandler,yeah just some good old fashion girl on girl American action.
Monica,I cannot tell you how happy that makes me!
Chandler,"You are an amazing wife. No really you're amazing you were actually gonna do this for me, I mean where do you find the strength and understanding over something like that."
Monica,"I'm very, very drunk right now."
Joey,"see ordinarily I would talk to her, but my confidence is shaken did I sleep with her? Did I not sleep with her?"
Phoebe,"you know maybe this is a wake up call, about your whole dating attitude. Your in your thirty's and you've never had a serious relationship and you have never been in a long term relationship, here you go from woman to woman, meaningless experience to meaningless experience never even worrying that it doesn't tern into anything serious."
Joey,your right! I love my life! I actually did sleep with her. end
Phoebe,"Oh hey you guys, I couldn't get a reservation for the night of my birthday, so we have to do dinner Thursday night instead."
Joey,Thursday? But that's Halloween.
Phoebe,So?
Joey,"So spooky, that's all."
Ross,"So, so, is Mike coming to dinner?"
Phoebe,"No! It's my first birthday with a boyfriend, and he has to work. Uch, I get mad at him, but I think it's a little to soon to show my true colors."
Rachel,"Pheebs, I would make a reservation for five, because one of us has to stay home and watch Emma. Which one of us should go to dinner?"
Phoebe,"Oh, Rachel!"
Ross,"Actually, um, I was thinking maybe both of us could go."
Phoebe,"Oh, yay!"
Ross,"Thanks, I put a lot of extra thoughts on your gift."
Phoebe,"Alright, okay, so we can all go now. That is fun. Hey, you know what? We all haven't been together the six of us in such a long time."
Monica,What are you talking about? We're all together right now.
Rachel,"Um, Mon, Chandler's not here."
Monica,"Oh, dear god! *Opening Credits*"
Chandler,"Good morning everyone, it's nice to see our team together for the first time. Now, before we get started, are there any questions? Yes, Ken is it?"
Ken,"That's right. Is it true, that the reason you are here in Tulsa is that you fell asleep in a meeting and took the job without realizing what you were saying yes to?"
Chandler,"Well, don't believe everything you hear, Ken. But yeah, that's true. Alright, let's get started, by take a look at last quarter's figures. Ah, Claudia, aren't you supposed to blow smoke up the bosses' ass?"
Claudia,I'm sorry. Does the smoke bother you?
Chandler,"No, no, no-no-no. I smoked for years, then I quit. Right now, I can't remember why. You're not allowed to smoke in this office. Not right?"
Claudia,"Yes, in Oklahoma it's legal to smoke in offices with fifteen people or less. Would you like one?"
Chandler,"Alright, lo...look. I don't smoke anymore. But if the rest of you want to light up, go ahead, it's fine. So you all smoke then? That's almost rude, that I'm not."
Ken,That's not true. If you don't wanna smoke ...
Chandler,"Ken, please! No, I can't, I can't smoke. If I smoke, my wife would kill me."
Ken,"I'm sorry, but isn't your wife back in New York?"
Chandler,"I always liked you, Ken."
Phoebe,Trick or treat!
Monica,Hey!
Phoebe,"Ooh, and treat it is."
Monica,Hmhmm.
Phoebe,"Wow, so glad I changed. Almost weared my ??? outfit that can't contain my breasts."
Monica,"This is not, what I'm wearing. I'm ovulating and Chandler's gonna be home any minute, so I thought we would try before dinner."
Phoebe,"Ohh. Oh wait! you guys won't be late for my dinner, will you?"
Monica,"Believe me, Chandler and I have not seen each other in over a week. We'll probably be the first ones there."
Phoebe,"'kay, see you there. Happy humping! Hey...hey! Oh, wow, somebody smoked out here? Oh my god, don't people know, you're not allowed to smoke in public spaces?"
Chandler,"Actually, in Oklahoma smoking is legal in all commune areas and offices with fewer than fifteen people."
Phoebe,You smoked!
Chandler,"No! I just happened t'do a lot trivias about smoking in different states. For example, in Hawaii cigarettes are called Leyhallalookoos."
Phoebe,"Chandler, you stink of cigarettes."
Chandler,"Uch, do you think, Monica is gonna be able smell it?"
Phoebe,Are you kidding? The woman has the nose of a bloodhound ... and the breasts of a great goddess.
Chandler,Pheebs?
Phoebe,I'm gonna go.
Chandler,"Okay, something to cover the smell ... Oven cleaner! Unscented!"
Monica,Welcome home. I've missed you. join me in the bedroom?
Chandler,"No thanks, I'm good."
Monica,"O-kay, so you wanna play it that way, do you?"
Chandler,"Right. You know what? Actually I just get off the plane, so I'm feeling kinda gross. Maybe I should just take a shower."
Monica,You don't need a shower.
Chandler,"Alright, the truth is, I soiled myself during some turbulences."
Monica,What do I smell? I smell smoke. Huh--did you smoke?
Chandler,"Yes, but I just had one. Two. Two tiny cigarettes. Okay, five. A pack. Two pack...a...a carton. Three big fat cartons in two days. But it's over, I made a decision, I'm not gonna smoke anymore."
Monica,
Chandler,"But, those are for you."
Ross,"Alright, we'll just, uh, see when you get here. Bye. Huh, that was my mom, she's stuck in terrible traffic."
Rachel,"Okay, well that's now the third sign that I should not leave Emma."
Ross,"Oh, what were the other two?"
Rachel,"Well, let's see. The first one is: I don't want to. And, you know, I'm not going."
Ross,"I know, it's the first time, we're leaving the baby and ... hey, I know how hard it is for you, but ... but Emma is gonna be fine. My mom is gonna be with her. She's great with kids."
Rachel,She is?
Ross,Ya.
Rachel,What about Monica.
Ross,"Hey, you only heard Monica's side of that. That little fatso was a terror."
Rachel,Ish. I just don't think I can bear it.
Ross,"Rachel, I know that you can. And you should."
Rachel,Uch.
Ross,"Really, it would be good for you and in fact, why don't you, why don't you go ahead to the restaurant and I will wait for my mom and then I'll meet you there."
Rachel,Oh-A.
Ross,"No, no, really. You should go. Just go! Go! Go out! Really, the world is your oyster. Kick up the heels. Paint the town red."
Rachel,You need to learn some new slang.
Ross,"I'm serious. C'mon, you should go. Here. No, uh-uh, just go."
Rachel,What ... Oh!
Ross,"No! No, you know what? You , the baby's fine, now squam . Yeah, story walking."
Rachel,I was just going to say that I left my keys.
Ross,"Oh, holy moly are we in a pickle now."
Phoebe,Where is everyone? They're forty minutes late.
Joey,"I know, u-uch."
Phoebe,"I'm starving. I know we were coming here tonight, I ate nothing all day."
Joey,"What about me, he? Only had one lunch today."
Phoebe,"Yes, they are expected presently. Yeah, yeah um, their arrival is in the offing."
Joey,"No, they're comin', we're waitin' right here."
Phoebe,"Joseph! Thou needn't worry, they shan't be long."
Phoebe,One really does have a stick up one's ass. Doesn't one?
Monica,"How can you smoke in this day of age? Do you not seen that ad with a little kid walks to grandpa, it's chilling."
Chandler,"I messed up, it was a meeting, everybody was smoking."
Monica,So what? Don't you have any will power?
Chandler,Will power? I've watch home movies of you eating ding-dongs without taking the tin foil off.
Monica,You said that was sexy!
Chandler,"'kay, look: Can we just drop this? I'm not gonna smoke again."
Monica,"That's right, because I forbid you to smoke again."
Chandler,You forbid me?
Monica,Mhmm.
Chandler,"You know, I flew a long way t see my loving wife? Is she here by the way?"
Monica,"Don't joke with me, okay? I'm very, very upset right now."
Chandler,"Oh, would you say this was the most upset you could be?"
Monica,Yes.
Chandler,"Then, I might as well ... do this . Not really sure what to do now."
Monica,"Well, I'll tell you what we're gonna do: We are already late for Phoebe's birthday dinner, so you point out put out that cigarette, we're gonna put this fight on hold and go have sex."
Chandler,Fine. What!?
Monica,"Sex! This is the last day I'm ovulating, and when we don't do it now, we'll have to wait till next month."
Chandler,You serious?
Monica,Oh yeah!
Chandler,"Right, fine, I'll do it, but no talking."
Monica,"Huh, and no cuddling."
Chandler,And no kissing your neck.
Monica,"Oh good, I hate it when you do that"
Chandler,And lots of kissing your neck.
Ross,"Okay, well the ??? is not home."
Rachel,No. Uch.
Ross,"Oh-oh, wait, my mother is gonna be here any minute. And she has the keys."
Rachel,"Alright, I can't, I can't wait that long. You have to do something--knock that door down!"
Ross,"I would, but I bruise like a peach. Besides, y...you know, everything is gonna be fine. The baby's sleeping."
Rachel,What if she jumped out the basinet?
Ross,"Can't hold her own head up, but yeah jumped."
Rachel,"Oh my god, I left the water running."
Ross,"Rach you did not leave the water running. Please, just pull yourself together, okay?"
Rachel,"Ah, did I leave the stove on?"
Ross,You never cooked since 1996.
Rachel,"Is the window open? Because if there's a window open, a bird could fly in there."
Ross,"Oh my god, you know what, yeah, I think you're right. I think .. listen, listen!"
Rachel,Ubb.
Ross,"A pigeon, a pigeon. No, no wait, no-no, an eagle flew in. Landed on the stove and caught fire. The baby, seeing this, jumps across the apartment to the mighty bird's aid. The eagle, however, misconstrues as an act of aggression and grabs the baby on its talon. Meanwhile the faucet fills the apartment with water. Baby and bird still up lays are locked in a death grip, swirling around the whirl pool, that fills the apartment."
Rachel,"Boy, are you gonna be sorry if that's true."
Joey,Maybe we should just eat now.
Joey,"Wha-a how about this: Another table leaves, right? But there's still some food left on their place, okay, what's the restaurant's policy about people eatin' that?"
Joey,But it happens? I'm gotta go to the bathroom.
Phoebe,"No, you can't go. No-no-no, I can't hold this table on my own. If they ask me to move, I cave."
Joey,"If you ask me to stay, I'll pee. Maitre D': Good evening, Miss. Miss? Miss? Miss!"
Phoebe,"Okay, fine, I'll move. Alright, you don't have to manhandle me. Where? Okay. Thank you. Wach."
Joey,"Finally you guys made it. Pheebs, who the hell--uhuhh!"
Monica,Spend more time with the tie. That'll make a baby.
Chandler,"Look, I can't do this. I can't make luv to you while we're fighting this way."
Monica,"Oh sure, now you're Mister Sensitivity. But when you wanted to have sex right after my uncle's funeral"
Chandler,"That was a celebration of life. Alright, look, I'm not gonna do this. Alright, is this really the way you want a baby to be conceived?"
Monica,"No, you're right. Mnya, we shouldn't do it like this. Huch. For what it's worth, I'm, I'm sorry. I shouldn't have come down on you so hard about the smoking. So you had a few cigarettes, not the end of the world."
Chandler,Mean it?
Monica,Yah.
Chandler,"You are incredible. Unless, I...I'm not gonna smoke again. And if I do, I promise, I will hide it so much better from you."
Monica,D'you want to?
Chandler,"Yeah, let's celebrate life!"
Monica,'kay.
Rachel,"Och, god. Oh, thank god, you're okay. I'm so sorry we left you. Mom never gonna leave you again. Never ever ever again. Uch."
Ross,Great. So let's get going?
Rachel,"Oh no. I mean it. After what just happened, I'm never leaving her again. Ms. Geller: I understand, seperation is hard. One time I was about to leave Ross to go to the beauty parlor and he got so upset, he took off all his clothes, tucked his ??? between his legs and cried out: ""Mommy, I'm a girl, take me with you."""
Ross,Somehow over time it got easier to be apart from you.
Chandler,Uhh. You are welcome.
Monica,You know what? Let's not talk.
Chandler,What?
Monica,Uch. I am still so mad at you for smoking.
Chandler,But you said you forgave me. It was just a couple of cigarettes--no big deal.
Monica,"Oh, blablablabaybaybay."
Chandler,Leave it.
Monica,I was just saying that because I was ovulating and you said you wouldn't have sex with me while we're fighting.
Chandler,You tricked me to get me into bed?
Monica,"That's right, I got mine."
Chandler,I feel so used.
Phoebe,"Well, I guess they're not coming. You wanna just order?"
Joey,"Thank you. Waiter! 'lright, this is gonna be fast, so try to keep uPhoebe: Risotto with the shaped truffels and the roasted rip steak with the golden Chanderelles and a Bordelaise sauce and that any that stuff I just said means snails."
Phoebe,Tomato tart and which of the pastas would you recommend?
Phoebe,"Both it is, thank you."
Joey,"Oh, uh, again. Can I make a special request: Can you bring everything as soon as it's ready? Appetizers, entrees, we don't care. Ross & Rachel: Hey, hi, hi!"
Phoebe,You guys are over an hour late. What happened to you two?
Ross,I'm so sorry ...
Rachel,"We got locked out of the apartment, we ..."
Joey,That's a great story--can I eat it?
Ross,And then Rachel wasn't sure she could leave the baby.
Rachel,"N-it wasn't easy, but it's your birthday and I did what I got to do."
Phoebe,And that's Judy over there at the bar with Emma?
Rachel,"Oh honey, this is for the best, thus I'm not distracted, worrying about Emma, how she's doing at home and I'm being completely here with you and, oh, she spit up!"
Ross,What?
Rachel,"She spit up. Judy! She spi...Judy! Look alive, Judy! Thank you."
Ross,Thanks. Oh.
Rachel,"Oh, ooh, everything looks delicious. What should I ha-ave? What should I have?"
Joey,Never hit a woman. Never hit a woman.
Ross,Y'know this ??? is incredible.
Joey,Ross bruises like a peach. He bruises like a peach.
Ross,"Okay, I'll have the fixed salad and the duck."
Rachel,"Yah, I'll have the soup and the salmon."
Joey,"And remember whatever comes up first. Okay? And hurry, because .."
Monica,Happy birthday!
Joey,Son of a bitch!
Phoebe,Wher-where have you been?
Monica,"Well, we had a little fight."
Chandler,I would never lie to get someone into bed.
Monica,"You used to tell girls you were a Kennedy. Ooh, uh, thanks. Wow, little tight, isn't it? How d'you get a bigger table? You-you had a big table, but they made you move. Huh-huh, shut up Monica. Whoo, I suppose that Chandler will have the smoked duck."
Chandler,I suppose that Monica will have the ... manipulative shrew.
Joey,"Why are you going? He said, she wanted the shrew!"
Ross,"Rach, c'mon, Emma is fine. You're turning into an obsessive mother. Okay, you need to stop."
Rachel,Y'guys ever heard the story about when Rosses mom went to the beauty salon?
Chandler,You mean the lully story?
Ross,"Huh-huh, they already know it."
Phoebe,"You guys, we've been waiting for you for a long time, maybe you should order."
Joey,"No, no, it's okay, I already told the waiter what they want."
Monica,Why would you do that?
Joey,"Chandler, control your woman!"
Rachel,"Okay, as everybody has ordered, I would like to start the celebration and make a toast ... to Phoebe. She dropped her sock."
Phoebe,Aw ... what?
Rachel,"N-no, Emma dropped her sock."
Monica,"Mom's here? I wanted to have lunch with her today, she told me she was out of town."
Rachel,"Ross, she still has not noticed that the baby's sock is on the ground."
Phoebe,'s a good toast.
Rachel,Could you please get her attention?
Ross,W-oa ... Mommy!
Phoebe,"Oh, for god's sake, Judy, pick up the sock! Pick up the sock! Pick up the sock! I'm sorry, was that rude? Di-did my, my li-little outburst blunt the hideousness that is this evening? Look, I know, you all have a lot going on, but all I wanted to do was have dinner with my friends on my birthday. And you are all so late and you didn't even have the courtesy to call. Well, it's too late now."
Ross,"Well, ??? think that's us?"
Phoebe,"well, this is, this is, this is not over! Hello?"
Joey,"Well, what is going on with you two?"
Monica,"Uch, you see, I'm ovulating."
Chandler,"Oh yeah, that's what she says. But maybe you're not ovulating at all, maybe it's just a clever ruse to get me into bed."
Monica,"Yes smokie, that is what it was. I just can't get enough."
Chandler,You not gonna believe this: She lied! She tricked me into having sex with her.
Joey,"So? Did have sex, right?"
Chandler,What's the matter with me? Why I'm such a girl?
Phoebe,"Okay, that was Mike."
Rachel,"Phoebe, hi, we're so sorry. You're totally right. We are here one hundred per cent and we love you and we are ready to start your birthday celebration."
Phoebe,"Mhuh, guys, that means the world to me. Huh, nkay, I'm gonna take off."
Rachel,What?
Phoebe,"Oh, I love you guys too, but Mike got off work early. Wait. Wait, I'm not t--not that kind of girl that just ditches her friends to be with her boyfriend. You know what? I am. Bye guys! Judy! Bye."
Rachel,"Oh thank god, if Phoebe's going, can we please take Emma home?"
Ross,"You know, I think that's a good idea--our babysitter just pounded in another Chardonnet. Bye, y'guys."
Monica,Bye.
Joey,"See ya. Well, this is just us. Monica & Chandler: Mhum."
Monica,"So, I'm, I'm probably still ovulating. Do you want to give it another try?"
Chandler,"So you never had sex with a Kennedy, have you?"
Joey,"Do, do you gonna do it now?"
Monica,We don't have much time. Once the egg decended the oviduct ...
Joey,No-ohoh. Maitre D': I sincerely hope the rest of your party is returning.
Joey,"Nah, just me. All alone. Dinner for six for one, uh, you boys are about to see something really special. *Closing Credits*"
Joey,Excellent. The shrew in particular was exclusive.
Waiters,"Happy birthday to you, happy birthday to you, happy birthday dear ..."
Joey,Joey! Joey.
Waiters,"... Joey, happy birthday to you."
Joey,That's the best birthday ever. *End* 1
Chandler,Hello? Hello?
Monica,I LOVE MY NEW JOB!
Chandler,"Honey, you're screaming."
Monica,YOU BET YOUR ASS I AM! I just had the best first day ever! The kitchen: twice as big as Allessandro's.
Chandler,"Oh, that's great."
Monica,"Yeah, a-a-and clean. Not just health department clean... Monica clean."
Chandler,Awesome.
Monica,"Oh, and the people are so nice. There's this one guy, Geoffrey, he's the Maitre D., Chandler, you will love him. He is without a doubt, the funniest guy I have ever met. OPENING CREDITS"
Mike,This is nice.
Phoebe,I know!
Mike,You need both hands for that?
Phoebe,"Yeah, I kinda do. Well, how's this?"
Joey,"Aaahhh, look at you two... holding hands... huh is this getting serious? Have you not talked about it yet? Am I making you uncomfortable? If you were bigger you'd hit me, huh...? Aaaaaahhhhhh"
Phoebe,I'm sorry... I'm sorry. It's obviously way too early for us to be... having that conversation.
Mike,Is it?
Phoebe,"Maybe not, is it?"
Mike,"Okay, when I got divorced, I didn't think I'd feel this way about someone for a really long time... Then again, I didn't think I'd meet someone like you... and... this may be crazy soon, but... I want you to have this... No, not... that's gum. Ooh, five bucks... I love it when that happens, you know... Think no note's there..."
Phoebe,"I know Mike, why don't you keep digging?"
Mike,"Oh, sorry."
Phoebe,"Oh, it's a key. To be honest, I think I'd prefer the five dollars."
Mike,It's to my apartment.
Phoebe,"Oh wow, ooh! Ooh, big step for Phoebe and Mike."
Mike,"Yeah, look, and I don't want you to feel like you have to give me your key just because..."
Phoebe,"Oh no, I want to."
Mike,"Oh, thank God."
Phoebe,"Yeah... ooh... wow... Even started to think I'd never meet someone that, you know, I wanted to... do this with. Here you go."
Mike,"Is this cool, huh?"
Phoebe,It really is.
Joey,"Oh, I know it... It is amazing these little things open doors... huh!"
Rachel,"So I don't go back to work for another four weeks, but we would like our nanny to start right away, so that Emma could get a chance to know her. Prospective nanny: I think that's really smart. The easier we can make the transition for her, the better."
Rachel,"That's great, great. So do you have any questions for us? Prospective nanny: Not really."
Rachel,Allright. Well thank you so much for coming...
Ross,Thank you.
Rachel,"Really nice to meet you... and we'll call you. Prospective nanny: Oh, you know, wait. I do have one question. Do you guys do random drug testing?"
Ross,"Boy, we uhm... hadn't really thought of that. Prospective nanny: That's cool. But... but if you do, I'm gonna need three days notice."
Rachel,Okidoki! Wow! We're never gonna find a nanny.
Ross,"Oh, come on Rach, we will. I promise. We have more interviews And worse comes to worse, we can always reconsider the uhm... the first one we met with."
Rachel,"What, the blonde with no bra?"
Ross,"She was blonde? Just a sec.! Okay, okay. This one's name is Sandy. She's got a degree in early childhood education, uhm... she worked for her last family for three years."
Rachel,Okay...
Sandy,Hi... I'm Sandy.
Ross,And she's a little mannish...
Phoebe,Oh my God! David!
David,Hi! I-i-is this a bad time?
Phoebe,"No! It's a great time, come in...! WOW, hi... Oh my gosh! What are you doing here? Are you back from Minsk?"
David,"Well, just for a couple of days, uhm... I'm here to explain to the people who gave us our grant, why it's a positive thing that we spent all their money and uhm... accomplished uhm... nothing."
Phoebe,"Who cares, it got you here."
David,"Well, it got me to New York anyway, and then I got on a cab at the airport, and the guy said where to? and I just... gave him your address I... I... I didn't even think about it."
Phoebe,Wow. Where is your luggage?
David,Damn it!
Phoebe,"A-Allright, well... I'll call the cab company."
David,"Wa... wa... wait! We can... call them later. Can you just... just stand there f-f-for a moment? Boy! There's an old Russian expression, uhm... it goes: Schto ya ztez vigul... ui! Roughly translated that means uhm... This thing that I'm looking at: wow!"
Phoebe,"Thank you! God, no! You should see me when... Oh actually, no, I look pretty good."
David,"Are... are you kidding? You know, when you don't see someone for a long time, a-a-and you kind of build them up in your head and you start thinking about: Come on, don't be crazy. Nobody is that beautiful, but... well, you are. Well, so, uhm... are you seeing... anyone?"
Phoebe,No...
Phoebe,I'm... I'm just... I'm the worst person ever. How can I not tell David that I'm seeing Mike?
Monica,Maybe he didn't give you a chance.
Phoebe,He said: Are you seeing someone? And I said no...
Monica,"Oh, well... That had been your window."
Phoebe,"Yeah! I mean, I don't know. I was just , I was looking, I was looking in his eyes and I was just thinking: Oh my God! It's David. David's here. He's just, he's so irresistible."
Monica,Really? The scientist guy?
Phoebe,Really? Chandler?
Monica,Continue...
Phoebe,"Oh.Okay, then it gets worse, 'cause then I told him that I would see him tomorrow night."
Monica,Phoebe!
Phoebe,"I know! Evil! And... and... and... I like Mike so much, you know. It's just going really well. Oh my God!"
Monica,"Wow, isn't it ironic that David would show up on the same day that you and Mike exchange keys?"
Phoebe,"Uhuh... Yeah...!, you know. And given my life long search for irony, you can imagine how happy I am."
Monica,What are you gonna do?
Phoebe,"I mean I guess, I just have to... tell David that nothing can happen between us. Unless I don't... You know, complicated moral situation, no right, no wrong..."
Monica,You have to tell David!
Phoebe,"Okay, I knew I should have had this conversation with Joey."
Chandler,"Funniest guy she's ever met! I'm funny, right...? What do you know, you're a door... You just like knock-knock jokes... Save it for inside!"
Monica,Heeeeeey!
Chandler,Hey!
Phoebe,Hey!
Chandler,"So... Oklahoma is a crazy place. You know, they call it the Sooner state. Frankly I'd sooner be in any other state. And what's with Oklahoma having a pan handle? Can all states have stuff like that? Hey yeah, I'm from the waistband, Wyoming. But when I was seven, we headed over to the crotch."
Monica,Was your cabin pressurised?
Chandler,And don't get me started on the way that people from Tulsa talk.
Phoebe,Okay.
Chandler,"What's with the word y'all? You know, just... two words just... pushed together... Are we all allowed to do that, because if so, I say why stop there? You know, your new poodle could be your noodle. And fried chicken? Could be fricken.Waiter, waiter excuse me, I'll have the fricken? See, that's... that's funny with the fricken, right?"
Monica,"No, it just remind me of something this guy did today at work. I told you about that funny guy, Geoffrey, right?"
Chandler,"Yeah, he came up..."
Monica,"Well, he did this bit... You probably had to be there, but it was Liza Minelli locked in our freezer, eating a raw chicken."
Chandler,Were you there?
Phoebe,"No, but it sounds like it was fricken funny..."
Sandy,"I really do understand how hard it's gotta be to leave your child with another person. I mean, it's leaving behind a piece of your heart..."
Rachel,"Sandy, that's exactly what it is..."
Ross,Are you gay?
Rachel,Ross!
Sandy,It's okay. I get that a lot doing what I do. But I am straight. I-I'm engaged actually.
Rachel,Oh!
Sandy,Her name is Deliah.
Rachel,"Oh, that's pretty."
Ross,So you're just like a... guy who's a nanny?
Sandy,"I realise how it's... a bit unorthodox for some people, but I really believe, the most satisfying thing you can do with your life, is take care of a child."
Ross,Okay.
Sandy,"Like in my last job, I met Daniel when he was three weeks old. And I got to watch him grow into this awesome person... When I left, I said: I'll see you soon... And he said to me: Skdandy... That was his name for me... I'll see you every day... right in..."
Ross,"Yeah, kids say all kinds of crap."
Rachel,"Oh God, she mu... she must need her diaper changed."
Sandy,"Oh, oh, I can do it for her, if you want..."
Rachel,"Oh, that would be great! I love him, I love him, I love him..."
Ross,"Oh, come on, Rach, he's a guy!"
Rachel,"So wh..? He's smart, he's qualified. Give me one good reason we shouldn't try him out."
Ross,"Because, it's weird!"
Rachel,Why?
Ross,What kind of job is that for a man? A nanny? I-It's like if a woman wanted to be...
Rachel,Yes?
Ross,King?
Sandy,I er... I hope you don't mind. I used some of my home-made lotion on Emma. It's a mixture of calendula and honey cream. It'll dry that rash right up. Plus... It keeps the hands young...
Rachel,Please? YES! Sandy you're hired.
Sandy,That's great! I'm sorry. It's just... such an emotional thing when you're welcomed into a new family...
Rachel,Oooh... ***I really can't hear what she says*** come here.
Ross,You gotta be at least bi... COMMERCIAL BREAK
Chandler,"Hey! I need you to set me up for a joke. Later, when Monica is around, I need you to ask me about fire trucks."
Joey,Ooh. I-I don't know Chan. I'm not so good with remembering lines.
Chandler,"Well, thank God your livelihood doesn't depend on it."
Joey,"I know, right? Wh... Wh... Why are we doing this?"
Chandler,Monica says that her Maitre D. is the funniest guy she's ever met.
Joey,Seriously? She actually said that?
Chandler,Yes! Am I crazy to be this upset?
Joey,Nooooo! Being funny is your thing!
Chandler,Yeah!
Joey,"Without that, you just got ""lame with women""."
Chandler,Ye....
Monica,Hi! There you are.
Joey,Fire trucks!
David,"Wow, you look even... more beautiful than you did yesterday."
Phoebe,Oof...
David,"In fact, ehm... I going to kiss you now."
Phoebe,"Oh, wait, wait!"
David,"Yeah, I-I don't, I can't get away with stuff like that. I-I-It sounded sexy in my head, so I..."
Phoebe,"No, no, it's not that. Uhm... Remember when you asked me if I was seeing someone and I said no? Well, uhm... I am. His ... his name is Mike."
David,Oh... oh...
Phoebe,"Yeah, I should have told you."
David,"No... well, yeah."
Phoebe,"I'm sorry, I'm sorry."
David,"Well, i-it's okay. I-I-I understand... Well, s... well, are you happy with this guy?"
Phoebe,I am happy.
David,"Damn it! I-I'm sorry. I-I don't mean that. I-I want you to be happy... But only with me. No, uhm... that's not fair. Uh, who cares, leave him!. Oh, I don't mean that. Yes I do... I'm sorry Uhm, I... I think I should probably uhm... go..."
Phoebe,"Well... but David, just... I just want you to know that... that... you know... telling you this... is one of the hardest things I've ever had to do."
David,Well... just so you know... hearing it wasn't exactly a Vladnik carnival either... Can we at least hug goodbye?
Phoebe,"Of course, yeah. You know, a kiss on the cheek wouldn't be totally inappropriate..."
David,No... no...
Phoebe,I mean...
David,In Minsk...
Phoebe,Yeah?
David,...it's uhm... i-it's two on each cheek and uhm... and one on the lips.
Phoebe,"Well, if that's what they do in Minsk... In New York... it's..."
Rachel,Oh... Oh boy... Hi...
Ross,Is everything allright?
Rachel,"Oh yeah, it's fine, it's fine. Sandy was just... was just telling me about how he proposed to his fiancée and it was just sooo beautiful."
Sandy,"Well, her favourite flower is the camellia. From the poem..."
Rachel,I can't... I can't hear it again.
Sandy,"You know, I can't tell it again..."
Ross,"And I'm fine never having heard it... Rach, can I... can I see you for a sec?"
Rachel,Yeah! Excuse me...
Ross,Do you realise that man has cried in our apartment three times...? Huh? I haven't cried that many times since I moved in.
Rachel,"Look, Ross, he's just... Sandy is just sensitive, that's all."
Ross,"Okay, okay, see... that... that is the problem. He is too sensitive."
Rachel,What...? Too sensitive to take care of our baby?
Ross,"Yeah, I mean, all things that guy... These are amazing!"
Rachel,Sandy made Madeleines.
Ross,"This... this is exactly what I'm talking about. What kind of a guy makes... makes... delicate French cookies, huh? They're not even... butch, manly cookies with... with... you know with... with chunks."
Rachel,"Well, I... you know, I-I-I don't know what to say... I mean, I never thought of you as a guy who needed his men to be men. You know, 'cause I gotta tell you Ross, it not like you just came in from branding cattle."
Ross,Hey... there's sensitive... and there is too sensitive.
Rachel,"Okay, what? What is too sensitive?"
Phoebe,"Hmmm... No, no... No, I can't do this. It's bad."
David,"But... I-I-It's nice... A-a-and... nice is good. A-a-and good is not bad, ergo, w-w-we should keep kissing."
Phoebe,"No, no. No."
David,But... ergo...
Phoebe,"Look David, if... if you had never left, then... yeah, we'd probably still be together right now, but... you did leave, and I-I'm with Mike and I really care about him..."
David,Uhm... uhm... Goodbye... Uh... Schto ya ztez vigul... ui...
Mike,"Well... hey, the key works...!"
Phoebe,And you thanks for the face massage. Thank you.
Ross,Did Rachel tell you we hired a male nanny?
Monica,Yeah! I think that's great!
Ross,"Oh really? Did she tell you he plays the recorder, recites poetry and bakes Madeleines?"
Monica,Oh... How are they?
Ross,Lighter than air... But that's not the point.
Joey,Hey!
Ross,Hey...! Rachel and I hired a male nanny.
Joey,Really...? Guys do that...? That's... weird...
Ross,Thank you!
Joey,That's like a woman wanting to be a...
Ross,...a what? A what? What's the end of that sentence?
Monica,Yes... What is the end of that sentence?
Joey,"Uhm... A penis model. Anyway, hey... Did you tell Chandler that some guy from work is the funniest guy you've ever met?"
Monica,"Yeah, so?"
Ross,Wow!
Joey,Really? Do you not know Chandler?
Monica,"Is that why he's acting so weird...? He's jealous...? Oh my God, that is crazy. It's not like I'm attracted to Geoffrey..."
Joey,"So what? Being funny is Chandler's thing... You know, like Ross's thing is..."
Ross,Science...? Academia...? Being a good father...?
Joey,...No...
Monica,I can't believe he's that upset about this...
