,Speaker,Dialogue
42640,Ross,"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them."
42641,Phoebe,"Don’t be so corny Ross, it’s not an after-school special. End"
42642,Chandler,Buh-bye. I just got us reservations at Michelle’s and tickets to the Musicman to celebrate our first holiday season as a betroughed couple.
42643,Monica,Betrothed…
42644,Chandler,…betrothed couple.
42645,Phoebe,Hey!
42646,Chandler,Hey! Rachel and Monica: Hi!
42647,Phoebe,Haaaa... ... ahhhh!
42648,Chandler,Pheebs?
42649,Phoebe,Huh?
42650,Chandler,Skull?
42651,Phoebe,"Oh, yeah, it's my mom's."
42652,Rachel,Oh my god!!
42653,Phoebe,"No, no, no. It's not! It's not my mom. It belonged to mom. Yeah, no, she used to put it out every Christmas to remind us, that even though it's Christmas, people still die. And, you can put candy in it."
42654,Ross,Hey!
42655,Monica,Licorice?
42656,Ross,"Sure! Hey, I just found out, I get Ben for the holidays this year."
42657,Monica,Are you gonna dress up as Santa?
42658,Ross,"Nope. I mean, I know Susan does every year, but I think I wanna take this year to teach him all about Hanukkah."
42659,Phoebe,And maybe I could teach Ben about the Christmas skull and how people die.
42660,Rachel,You may need to use this year to teach Ben about Phoebe.
42661,Ross,Hmm.
42662,Joey,Hey.
42663,Rachel,Did you know he was in there?
42664,Monica,No.
42665,Chandler,How long have we been home?
42666,Monica,About a half an hour.
42667,Chandler,Lovely! Opening Credits
42668,Chandler,"Hey, you know what I was thinking? When we get married, are you gonna change your last name to Bing?"
42669,Monica,No.
42670,Chandler,Why not?
42671,Monica,Bing's weird.
42672,Phoebe,"Oh, hey, you guys!"
42673,Chandler,Hey!
42674,Monica,Hey!
42675,Phoebe,"Hey. Guess what! My landlord just called and my apartment is gonna get ready soon, so I guess I'll be moving out."
42676,Monica,"Ahh, Phoebe, I'm gonna miss you!"
42677,Phoebe,"Yes, you will be very sad. All right, well I gotta go tell Rachel the good news."
42678,Chandler,Ohh! You guys gonna be living together again?
42679,Phoebe,"Yeah, why not?"
42680,Chandler,"Well, she's just so much fun with Joey, I just assumed, she'd still be living with him."
42681,Phoebe,Why do you think she's having so much fun living with Joey?
42682,Chandler,"No reason, except…she…told…me."
42683,Phoebe,"Really? So she said, she didn’t wanna live with me anymore?"
42684,Chandler,"No! No, she didn't say that. I-I-I think you should talk to Monica now."
42685,Monica,"Phoebe, don't worry about it. I'm sure she wants to live with you."
42686,Phoebe,You're sure? You're absolutely sure?
42687,Monica,"Well, no. But, um, I bet she probably does."
42688,Phoebe,"Probably? Yeah, I don't like that word. Kind of what ‘probably’ really means. Yeah, uh-huh. Yeah, oh, ""Your mom probably won't kill herself,"" y’know? I'm sorry, but I'm not hanging all my hopes of Rachel and I living together on-on ""Probably!"" Y’know? You gotta take care of yourselves! In this world history teaches us nothing!"
42689,Chandler,"Bing doesn't seem so weird now, does it?"
42690,Rachel,Hey!
42691,Joey,"Hey! Great, you’re home! Guess what Phoebe got me for Christmas!"
42692,Rachel,Drums?
42693,Joey,No! Drums!
42694,Chandler,"Hi, could we get two burritos to go, please?"
42695,Monica,"I'm sorry. But not that sorry, 'cause you don't have to live with it. Um, we have a reservation under the name Chandler Bing. Maitre d': Oh-kay, we'll have a table for you in about 45 minutes."
42696,Chandler,"Forty-five minutes? We have tickets to the Musicman at 8:00. Maitre d': I'm sorry. Christmas is a very busy time, sir."
42697,Chandler,Is this because of the burrito thing?
42698,Monica,You need to give him money.
42699,Chandler,Give him money? It was a joke!
42700,Monica,"No, to get a table! Places like this are always shakin’ you down. Everybody wants to be paid off."
42701,Chandler,"Right, calm down, O'Mally. I'll slip him some money."
42702,Monica,You've got to be smooth about it.
42703,Chandler,"Hey, I can be smooth. Listen, we're a little bit in a hurry, so, if you can get us a table a little quicker, I'd appreciate it. Maitre d': Of course, sir."
42704,Chandler,Okay.
42705,Monica,How did it go?
42706,Chandler,Had the money in the wrong hand.
42707,Ross,"Wooooooo, hehehe. Hey, ahh, you don't feel like you're gonna throw up, do ya?"
42708,Ben,No.
42709,Ross,"Well, I do, so let's... So, Ben, you uh, you know what holiday is coming up, don't ya?"
42710,Ben,Christmas.
42711,Ross,"Yep, and you know what other holiday is coming up?"
42712,Ben,Christmas eve.
42713,Ross,"Yes, but also Hanukkah! See, you're part Jewish, and-and Hanukkah is a Jewish holiday."
42714,Ben,Santa has reindeers that can fly!
42715,Ross,"Right, um, but, on Hanukkah, Hanukkah is a celebration of a miracle. See, years and years ago there were these people called the Maccabees."
42716,Ben,"Jingle bells, jingle bells..."
42717,Ross,"Okay, that's right, yes, but on Hanukkah, uh, we sing, uh Draydl, draydl, draydl, I made you out of clay."
42718,Ben,"Rudolph, the red-nosed reindeer..."
42719,Ross,"Okay, it's not a contest."
42720,Ben,When is Santa coming?
42721,Ross,"Well, how about this year, instead of Santa, we have fun celebrating Hanukkah?"
42722,Ben,No Santa? Was I bad?
42723,Ross,"No! Oh, no-no-no. Hey, you weren't bad, you've been very good, Ben."
42724,Ben,Santa's mad at me.
42725,Ross,"No, hey-hey, come on, Ben, Santa is not mad at you, okay? Hey, you're-you're his favorite little guy!"
42726,Ben,So Santa's coming?
42727,Ross,Yes! Santa's coming!
42728,Monica,"It's easy! Just keep it casual! Give him a kind word, shake his hand and give him the money!"
42729,Chandler,How do you know so much about this?
42730,Monica,I don't know.
42731,Chandler,"Richard used to do it, didn't he?"
42732,Monica,We'd be eating our soup right now.
42733,Chandler,Mustached bastard…
42734,Monica,"Okay, those people just left, come on! Quick! Give him the money and get their table!"
42735,Chandler,Excuse me... Male Guest: Good evening.
42736,Chandler,Ahh-hahaha!
42737,Rachel,Ha!
42738,Phoebe,"So you like the drums! That's, that's great! Y’know, I was worried, that, you know, they would maybe an unbearable living situation. All right, okay, well, apparently not! So, yay!"
42739,Joey,"Hey-hey, Pheebs, check it out, we already learned a song. Ready? One, two, three, four... Rachel and Joey: Tequila!!"
42740,Phoebe,That's fun. Commercial Break
42741,Gunther,Here you go.
42742,Chandler,"Thank you Gunther, put it there. Definitely not easier with coins. Thank you."
42743,Joey,Thank you. Hey Pheebs!
42744,Phoebe,Hey!
42745,Joey,Here. Now I only owe you $49.50.
42746,Chandler,Hey Pheebs!
42747,Phoebe,Hey!
42748,Chandler,"If you wanna give Joey a Christmas present that disrupts the entire building, why not get him something a little bit more subtle, like a wrecking ball, or a phial of small pox to release in the hallway?"
42749,Monica,"It's not just the drum noise. Every five minutes, Joey throws his sticks in the air, and I have to hear, ""Oh my eye! Oh god, my eye!"" I mean, it is so annoying."
42750,Phoebe,"Yes, thank you. You see, this is how normal people are supposed to react to drums."
42751,Monica,"Phoebe, you got Joey drums to annoy Rachel, so she wouldn't wanna live there anymore?"
42752,Phoebe,Maybe on some level.
42753,Rachel,"Joey, y’know that you could just not throw the sticks up in the air."
42754,Joey,What is Rock 'n' Roll about that?
42755,Phoebe,"Hey, Joey, I got you another present."
42756,Joey,"Oh wait, before you tell me what it is! Okay, what is it?"
42757,Phoebe,"It's a…tarantula! Oh! God! Rachel, look, I'm sorry. What was I thinking giving Joey this big, gross, scary spider in such a poorly constructed cage?"
42758,Rachel,"What are you talking about? I love them! Yeah, I had a tarantula when I was a kid. But it-it died, because my cat ate it. And then, then my cat died. But Joey, isn't this cool?"
42759,Joey,"Is it on me? I feel, I feel like it's on me! I got, hey!"
42760,Rachel,"Oh, isn't that adorable? Joey is afraid of the tarantula."
42761,Phoebe,"Ah, yeah, he's so adorable, God, he's just so much fun, Joey is the best, I'm glad you're having so much fun here."
42762,Rachel,"What? Wait-wait a minute, what? Phoebe, what's the matter?"
42763,Phoebe,Our apartment is ready.
42764,Rachel,And that makes you angry because…
42765,Phoebe,Because you would rather live here with Joey.
42766,Rachel,Where did you get that?
42767,Phoebe,Monica and Chandler said that you were having so much fun here. And apparently no amount of drums or tarantulas is gonna change that.
42768,Rachel,Phoebe?
42769,Phoebe,Hm?
42770,Rachel,"Did you get all this stuff for Joey to try and drive me out of the apartment? Honey, if you wanted to do that, you might as well just gotten him a fish, you know how fish freaked me out!"
42771,Phoebe,Fish!
42772,Rachel,"It wouldn't have mattered anyway, Phoebe, you and I are, are gonna live together, we're roommates; that's the deal."
42773,Phoebe,"Yes, but I wanted you to want to live with me, but okay, if you're having so much fun over here…"
42774,Rachel,"Oh, it's so much more fun with you."
42775,Phoebe,"We did have fun, didn't we?"
42776,Rachel,We did!
42777,Phoebe,"Oh, anyway, they say, if we want, we can see it tonight."
42778,Rachel,"Oh, I would love to!"
42779,Phoebe,"Yay, okay!"
42780,Rachel,"Good, good, good, good, good."
42781,Phoebe,"Great, all right, okay, and Monica ask me to make the drumming stop."
42782,Rachel,Um... Done!
42783,Ross,Hey!
42784,Salesman,"Hello, Sir. You're here to return those pants?"
42785,Ross,"No, these are my pants."
42786,Salesman,Oh. Okay! How can I help you?
42787,Ross,"Well, uh, do you have a Santa-outfit left?"
42788,Salesman,"Two days before Christmas? Sorry, man."
42789,Ross,"Okay look, do-do, you have anything Christmassy? I promised my son, and I really don't want to disappoint him, um, come on, I…uh, you gotta have something."
42790,Ross,I'm the holiday armadillo! I'm a friend of Santa's and he sent me here to wish you a Merry Christmas!
42791,Monica,"What happened to Santa, Holiday Armadillo?"
42792,Ross,Santa was unavailable so close to Christmas.
42793,Monica,"Wow, come in, have a seat. You must be exhausted coming all the way from…Texas."
42794,Ben,Texas?
42795,Ross,"That's right, Ben. I'm Santa's representative for all the southern states. And Mexico! But, Santa sent me here to give you these presents, Ben. Maybe the Lady will help me with these presents."
42796,Ben,Wow! Thanks!
42797,Ross,"You're welcome, Ben. Merry Christmas, ooh, and Happy Hanukkah!"
42798,Ben,"Are you for Hanukkah, too? Because I'm part-Jewish."
42799,Ross,"You are? Me, too!"
42800,Monica,Because Armadillos also wandered in the desert?
42801,Ross,"You wanna wander in the hall? Ooh, hey Ben, what if the Holiday Armadillo told you all about the Festival of Lights?"
42802,Ben,Cool!
42803,Ross,Yeah!
42804,Monica,Come on Ben.
42805,Ross,Years and years ago there were these people called the Maccabees...
42806,Chandler,"Ho, ho, ho! Merry Christmas!"
42807,Ben,Santa!
42808,Chandler,Hey!
42809,Ross,"What are you doing here, Santa?"
42810,Chandler,"Well, I'm here to see my old buddy Ben. What are you doing here, weird…turtle-man?"
42811,Ross,"I'm the Holiday Armadillo, your part-Jewish friend. You sent me here to give Ben some presents. Remember?"
42812,Chandler,What?
42813,Ben,"Did you bring me any presents, Santa?"
42814,Chandler,"You bet I did, Ben, put it there! Well, it would have worked this time, if his hands weren't so damn small! Ho, ho, ho!"
42815,Monica,"Okay Ben, why don't you come open some more presents, and Santa, the Armadillo, and I have a little talk in the kitchen? There's a sentence, I never thought I'd say."
42816,Ross,What are you doing?
42817,Chandler,"You called everyone and said you were having trouble finding a Santa costume, so I borrowed one from a guy at work!"
42818,Ross,"Thank you, but, but you gotta leave."
42819,Chandler,Why?
42820,Ross,"Because, I'm finally getting him excited about Hanukkah, and, and you're-you’re wrecking it."
42821,Chandler,But I didn't get to shake my belly like a bowl full of jelly.
42822,Ross,"I'm sorry, Chandler but this, this is really important to me."
42823,Chandler,"Fine, I'll give the suit back."
42824,Monica,"Hey, you think, you can keep it another night?"
42825,Chandler,Santa? Really?
42826,Monica,"Yes, is that okay?"
42827,Chandler,Did your Dad ever dress up like Santa?
42828,Monica,No.
42829,Chandler,Then it's okay!
42830,Ross,"Okay Ben, Santa has to go. Say good-bye!"
42831,Ben,No! Why does he have to go?
42832,Chandler,"Because, if Santa and the Holiday…Armadillo? ...are ever in the same room for too long the universe will implode. Merry Christmas!"
42833,Ben,No! Why can't the Armadillo leave? I want Santa!
42834,Ross,"Fine, I-I give up. Santa, Santa can stay."
42835,Chandler,"Well, I'll stay, but only because I wanna hear about Hanukkah. Ben, will you sit here with Santa and learn about Hanukkah?"
42836,Ben,"Okay, Santa!"
42837,Ross,"All right, it's time for the story of Hanukkah. Years and years ago, there were these people called the Maccabees."
42838,Joey,Merry Christmas!
42839,Rachel,Oh wow! Look at this place!
42840,Phoebe,"Oh, this is terrible. Oh, they’ve made so many changes I can’t even feel my grandmother’s presence anymore—Ooh! New sconces!"
42841,Rachel,Oh my God!
42842,Phoebe,What?
42843,Rachel,"Okay, remember uh, remember how you told me that your grandmother put up that wall to make that into two bedrooms?"
42844,Phoebe,Yeah?
42845,Rachel,And remember how you always said you were afraid the landlord would find out and then tear it down?
42846,Phoebe,Yeah?
42847,Rachel,Do you really not know where I’m going with this? It left! It’s one huge room!
42848,Phoebe,Oh no! Oh! Wow!!!
42849,Rachel,See?
42850,Phoebe,"Well, I guess we’ll just have to put the wall back up."
42851,Rachel,"You can’t, because of the new skylight!"
42852,Phoebe,There’s a skylight?! Wow!!
42853,Rachel,So what should we do? Should we start looking for a new place?
42854,Phoebe,"Y’know I’m-I’m sensing that um, my grandmother would not be comfortable with that."
42855,Rachel,Oh yeah? Startin’ to feel her again there are we?
42856,Phoebe,"A little bit, yeah."
42857,Rachel,Pheebs is your grandmother maybe saying that you should live here alone?
42858,Phoebe,You heard her too?! You have the gift!
42859,Rachel,"Phoebe, it’s okay. I like living with Joey."
42860,Phoebe,Are you sure?
42861,Rachel,"Oh please, I hate packing, it’s closer to work, and we do have fun. Although, I’m really gonna miss living with you."
42862,Phoebe,Oh me too.
42863,Rachel,"I know. Oh-oh, wait did you hear that-hear that? Listen, I’m gettin’ something from your grandmother, she said that since you get to keep the one bedroom apartment you should give Rachel the purple chair?"
42864,Phoebe,"No, I do not hear that."
42865,Ross,"…and the miracle was that that little bit of oil that should’ve just lasted just one day, burned for…"
42866,Ben,Eight whole days.
42867,Ross,"That’s right, and that’s why we celebrate Hanukkah today. The end."
42868,Ben,Awesome!
42869,Ross,Yeah?
42870,Chandler,My favorite part was when Superman flew all the Jews out of Egypt.
42871,Ross,"The Armadillo was actually not so thrilled about that part! Okay Ben, it’s time to light the Hanukkah candles!"
42872,Rachel,Hey!
42873,Phoebe,Oh.
42874,Rachel,Wow! It looks like the Easter Bunny’s funeral in here.
42875,Ross,"Come on, come on, we’re-we’re-we’re lighting the candles!"
42876,Rachel,Oh.
42877,Phoebe,Oh.
42878,Phoebe,"Okay, I understand why Superman is here, but why is there a porcupine at the Easter Bunny’s funeral? Ending Credits"
42879,Rachel,I got it!
42880,Joey,Is it back in the cage?
42881,Rachel,Its back in cage!
42882,Joey,Cage closed?
42883,Rachel,"Joey, would you just come out here and stop being such a baby! End"
42884,Chandler,Ohh. Mmm.
42885,Rachel,Hi.
42886,Chandler,"Hey, you have got to try this cheesecake."
42887,Rachel,"Oh, y’know I'm not that much of a sweet tooth. I——Wow. My God, so creamy. Oh my God, this is the best cheesecake I have ever had. Where did you get this?"
42888,Chandler,It was at the front door. When I got home. Somebody sent it to us.
42889,Rachel,"Chandler, this is not addressed to you. This is addressed to Mrs. Braverman downstairs. Thief."
42890,Chandler,I—no! I didn't read the box before I opened it. And you can't return a box after you've opened the box.
42891,Rachel,"Why, why not?"
42892,Chandler,Because it's too delicious.
42893,Rachel,"Chandler, you stole this cheesecake. That is wrong."
42894,Chandler,"No-no-no! It is going to be okay, because Mrs. Braverman is gonna send away for a free one and that way we all win! The only losers are the big cheesecake conglomerate, Momma’s Little Bakery. I feel terrible, I’m a horrible, horrible, horrible person."
42895,Rachel,"Oh, I’m sorry, what? Opening Credits"
42896,Joey,"All right, I should get going, big day at work. Y’know I’m in a coma? Today, they do this test on me and it turns out I’m not brain dead."
42897,Chandler,So…
42898,Joey,"Ah-ah-ah Mr. Smartie Pants, it’s just my character that’s not brain dead. Hey, so Pheebs, we still on for tonight?"
42899,Phoebe,Absolutely!
42900,Joey,I’ll see you at 8:00.
42901,Phoebe,Okay.
42902,Chandler,"Oh, what’s at 8:00?"
42903,Phoebe,"Oh, I have dinner plans with Joey. We get together about once a month to discuss the rest of you guys."
42904,Ross,"Wow, did not know that! May I say how lovely you look today?"
42905,Phoebe,Duly noted.
42906,Ross,"Thanks. Oh! So for tomorrow, do you want to rent a car and drive down together or what?"
42907,Monica,What are you talking about?
42908,Ross,"Cousin Frannie’s wedding, it's tomorrow night."
42909,Monica,You were invited?!
42910,Ross,No.
42911,Monica,"My God, I can’t believe this! I mean I knew that mom and dad were invited, but I thought that was it! I mean from the ages 7 to 9 Frannie and I were inseparable!"
42912,Chandler,"Well, maybe since the age of 9, Frannie’s made some new friends."
42913,Ross,"Well l-look okay, it’s probably just a mistake. Let me call Aunt Sheryl okay? Maybe you are invited and the invitation just got lost in the mail."
42914,Monica,"Yeah, well you call her and tell her that y’know when we were kids her precious little Frannie tried to undress me several times, okay? And if I hadn’t have stopped her, there probably wouldn’t even be a wedding to go to."
42915,Ross,"Y’know, she tried to undress me too."
42916,Chandler,I used to undress my cousin Glenn.
42917,Phoebe,Joseph Francis Tribbiani are you home yet?!!
42918,Rachel,"Umm, I think he’s still out. What’s wrong?"
42919,Phoebe,"Well, I’ll tell you Rachel Karen Green, I had plans with Joey tonight and he left me this note."
42920,Rachel,"""Pheebs, can’t make it, got a date. Talk to you later. Big Daddy."" Big Daddy?"
42921,Phoebe,Oh that’s a nickname we were trying out.
42922,Ross,"Hey, y’know what nickname never caught on? The Ross-A-Tron!"
42923,Joey,Hey!
42924,Phoebe,Oh! Here’s Joseph Francis!
42925,Joey,Oh-Wha-Ho! What are you middle naming me for?! I left you a note!
42926,Phoebe,So what?! That doesn’t give you the right to ditch me!
42927,Joey,"Hey, you can cancel plans with friends if there is the possibility for sex!"
42928,Ross,"Phoebe he’s right, that is the rule."
42929,Phoebe,"I don’t accept this rule. When we make plans, I expect you to show up. Okay, I can’t just be a way to kill time ‘til you meet someone better! Y’know boyfriends and girlfriends come and go, but this is for life!"
42930,Joey,Wow! I’m so sorry; I had no idea it would bother you this much.
42931,Phoebe,"Well, it does."
42932,Joey,"Okay, can I-can I make it up to you? Huh? I’m sorry. How about uh, dinner tomorrow night?! I’ll pay for myself!"
42933,Phoebe,"Okay, you wore me down."
42934,Ross,"Hey Joe, while you’re over there how about another beer for the Ross-A-Tron?"
42935,Joey,The Ross—Is that back?!!
42936,Rachel,Hi!
42937,Chandler,Another cheesecake came! They delivered it to the wrong address again!
42938,Rachel,"So just bring it back downstairs, what’s the problem?"
42939,Chandler,I can’t seem to say goodbye.
42940,Rachel,"Are you serious?! Chandler, we ate an entire cheesecake two days ago and you want more?"
42941,Chandler,Well I’ve forgotten what it tastes like okay?!
42942,Rachel,"It was cheesecake. It was fine. It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling… Wow! My whole mouth just filled with saliva!"
42943,Chandler,Y’know what? Forget it! We are just hungry! We have not had lunch! We are just light-headed! So let us go out and have lunch and forget about the cheesecake.
42944,Rachel,Yeah and we’ll drop it off downstairs so that we’re not tempted.
42945,Chandler,Good idea. Where do you want to go to lunch?
42946,Rachel,"Momma’s Little Bakery, Chicago, Illinois."
42947,Joey,Awww! Mel Torme died.
42948,Monica,"Joey, that paper’s like a year old!"
42949,Joey,Aw! Does that mean the Sam Goody’s sale is over?!
42950,Ross,Hey.
42951,Joey,Hey.
42952,Monica,Hey.
42953,Ross,"So I finally heard back from Aunt Sheryl and apparently it wasn’t a mistake. Ahh, there’s-there’s limited seating in the hall."
42954,Monica,Limited seating?! I am just one tiny person!
42955,Ross,"Well yeah, but she doesn’t know that. I mean, the last time she saw you-you would’ve turned one of those little wedding chairs into kindling."
42956,Monica,"Limited seating! Oh, that is such a lame excuse! That’s not the reason she’s not inviting me!"
42957,Ross,"Oh what’s the big deal?! I wasn’t even invited to the ceremony, just the reception. And-and y’know what? If it makes you feel any better, Joan and I will just make an appearance and then, and then we’ll-we’ll leave early as a sign of protest."
42958,Monica,Joan?
42959,Ross,"Yeah, Joan Tedeski my date. She’s an assistant professor in the Linguistics department. Tall, very beautiful, and despite what some people say, not broad backed!"
42960,Monica,"Wait a minute, you got Ross Gellar and guest?! I wasn’t invited and you got ""and guest?!"""
42961,Joey,"Uh-uh, excuse me, I do have to interrupt on Ross’s behalf. I-I think the rule applies here y’know, since she has a chance to get on broad back…"
42962,Ross,Not broad backed!
42963,Monica,"Wait a minute, y’know, you’re bringing me!"
42964,Ross,What? I can’t cancel on Joan!
42965,Monica,Why not?!
42966,Ross,"Bec—Did you not hear me?! She’s an assistant professor in the Linguistics department, okay? They’re wild! Why do you want to come anyway?"
42967,Monica,"Because! She’s my cousin. I mean, we grew up together! We’re family y’know? Well that’s important to me."
42968,Ross,"Okay, all right, I’ll take you. I’ll go call Joan."
42969,Joey,"Aww that’s nice. Family should be there, huh? This is her wedding, happiest day of her life."
42970,Monica,We’ll see.
42971,Chandler,"Well, thank you for lunch."
42972,Rachel,"What? Wait a minute, I didn’t pay, I thought you paid!"
42973,Chandler,So apparently we just don’t pay for food anymore. Do you see what I see?
42974,Rachel,Its still there!
42975,Chandler,Mrs. Braverman must be out.
42976,Rachel,She could be out of town. Maybe she’ll be gone for months.
42977,Chandler,"By then, the cheesecake may have gone bad. We don’t want her to come back to bad cheesecake."
42978,Rachel,No that could kill her.
42979,Chandler,"Well, we don’t want that."
42980,Rachel,"No, so we’re protecting her."
42981,Chandler,But we should take it.
42982,Rachel,But we should move quick.
42983,Chandler,Why?
42984,Rachel,Because I think I just heard her moving around in there.
42985,Chandler,Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!
42986,Phoebe,Oh my God! That’s David!
42987,Monica,David who?
42988,Phoebe,"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!"
42989,David,Oh my God!
42990,Phoebe,"Oh, you say someone’s name enough, they turn around."
42991,David,Phoebe?
42992,Phoebe,David! What-what are you doing here? Aren’t you supposed to be in Russia?
42993,David,"Yeah, I’m just, I’m just in town for a conference. Umm, God you look phenomenal!"
42994,Phoebe,Well… Yeah. You look great too. Did you get a haircut?
42995,David,Yeah. Well I-I got like thirty of them.
42996,Phoebe,Yeah.
42997,David,"Umm, look I-I-I got a confession to make…"
42998,Phoebe,Uh-huh.
42999,David,"Uh, I-I-I was hoping to run into you here. I didn’t know whether I should call or not, y’know I-I was only in town for a few days. And y’know, I didn’t want to intrude on your life or-or anything like that, but I-I really wanted to see you and—but I didn’t know if you wanted to see me."
43000,Phoebe,"Well, of course I would want to see you. I…I think about you all the time."
43001,David,Really? Because I think about you all the time.
43002,Phoebe,Really?
43003,David,"I mean, there’s a statue in Minsk…"
43004,Phoebe,Uh-huh.
43005,David,"That reminds me of you so much, I mean umm, it-it’s actually of Lenin. But, y’know at certain angles…"
43006,Phoebe,Yeah.
43007,David,"Umm, anyway…Do you want to have dinner tonight?"
43008,Phoebe,Yes! Oh no!
43009,David,"Oh. Uh, what?"
43010,Phoebe,"I can’t. I can’t believe I have plans, I can’t. Can you do it tomorrow night though?"
43011,David,"Uh no, I have to go in a few hours. I have to be on the red-eye. Well listen, y’know, next time you’re in Minsk umm…"
43012,Monica,"Phoebe, can I talk to you for a second?"
43013,Phoebe,Uh-huh.
43014,Monica,What are you doing?
43015,Phoebe,"Well, I have plans with Joey tonight."
43016,Monica,So! He’ll understand!
43017,Phoebe,"No he won’t. And that’s not even the point! Monica, I made a whole speech about you do not cancel plans with friends! And now y’know what? Just because, potentially, the love of my life comes back from Russia just for one night, I-I should change my beliefs?! I should change beliefs! No! No! No, if I don’t have my principles, I don’t have anything!"
43018,Monica,"God, you are so strong."
43019,Phoebe,Or! I should rush through dinner with Joey and I can meet David at 9:00! Commercial Break
43020,Rachel,Oh my God! That is so good!
43021,Chandler,"I’m full, and yet I know if I stop eating this, I’ll regret it."
43022,Joey,Hey!
43023,Rachel,Hey!
43024,Joey,What do you got there?
43025,Rachel,"Oh it’s umm, it’s tofu cake. Do you want some?"
43026,Chandler,What are you doing tonight?
43027,Joey,Huh? Uh…
43028,Chandler,Dude! Dude!
43029,Joey,"Oh! Sorry. Uh, I’ve got those plans with Phoebe, why?"
43030,Chandler,"Oh really? Uh, Monica said she had a date at 9:00."
43031,Joey,What?! Tonight?!
43032,Chandler,That’s what Monica said.
43033,Joey,After she gave me that big speech?! She goes and makes a date with a guy on the same night she has plans with me? I think she’s trying to pull a fast one on Big Daddy!
43034,Ross,"Oh here, I think this is us. Yeah."
43035,Monica,Limited seating my ass. Let’s see who made the cut. Hi! The Wedding Guest: Hi!
43036,Monica,"I’m Monica Gellar. Who do you know the bride and groom? The Wedding Guest: Oh, I used to work with Frannie."
43037,Monica,Used to work with her. Used to! I’m a relative and I didn’t get invited! A blood relative! Blood!!
43038,Ross,"Stop saying, ""Blood"" to strangers."
43039,Monica,"So, how about you huh? How do you know the happy couple? The Second Guest: We went to college with both of them and now we live next door."
43040,Monica,"Okay, you’re fine."
43041,Phoebe,Hey! The Waiter: Are you guys ready?
43042,Phoebe,"Yes! I will have the green salad, umm the house salad, and water’s fine. The Waiter: Okay."
43043,Phoebe,Okay. The Waiter: And for you sir?
43044,Joey,"Yeah, this slow roasted salmon, just how slow are we talkin’ here? The Waiter: It’s uh, it’s already been roasted."
43045,Joey,"Ohh, then no. Maybe I should hear those specials again."
43046,Phoebe,"Oh Joey, we’ve heard the specials three times! Okay? There’s prime rib, mahi mahi, and a very special lobster ravioli. The Waiter: Actually we’re out of the lobster ravioli."
43047,Joey,"Oh well, that changes everything! Y’know what Pheebs?"
43048,Phoebe,Huh?
43049,Joey,"You were right before. I mean, friends are so important."
43050,Phoebe,"Yeah, I’m very wise. I know."
43051,Joey,Y’know-y’know what I really want?
43052,Phoebe,What?
43053,Joey,"Is to have a long, long talk. Y’know? Get Joey out on the open road and really open him up. The Waiter: Any progress?"
43054,Joey,Yes! I will have the lobster ravioli.
43055,Phoebe,"God Joey, this is taking forever!"
43056,Joey,What’s the rush? What?
43057,Phoebe,W-w—I just—it’s that—I have—y’know I have-I have an appointment. And it’s very important.
43058,Joey,"Whoa-whoa, what is it?"
43059,Phoebe,Well… It’s a date.
43060,Joey,"A date?! No, no Pheebs you-you must be mistaken, because I know you wouldn’t schedule a date on the same night you have plans with a friend!"
43061,Phoebe,"Come on Joey, don’t make me feel badly about this."
43062,Joey,"No, I’m gonna!! That’s right! Yeah, you made me feel really guilty about goin’ out with that girl! Like-like-like I did something terrible to you! And now Pheebs, you’re doing the same thing!"
43063,Phoebe,"That—It’s not the same thing! This is totally different! This is with David! Remember David, the scientist guy? Okay, he’s very special to me."
43064,Joey,"Okay, well my girl from the other night was special. She was a scientist too!"
43065,Phoebe,She was?
43066,Joey,"Well, she graduated from high school!"
43067,Phoebe,"Okay, whatever. Y’know what? I don’t have time to convince you because he’s only here for four hours, and I’m gonna go see him!"
43068,Joey,Fine!
43069,Phoebe,Yeah!
43070,Joey,Fine!
43071,Phoebe,Yeah!
43072,Joey,"What are you still doin’ here?! I told you, lobster ravioli!"
43073,Phoebe,Hey!
43074,David,"Hey! Oh, I was just about to leave. I-I-I-I didn’t think you were coming."
43075,Phoebe,"Oh, I wouldn’t miss this."
43076,David,"Well, I’m very glad you’re here."
43077,Phoebe,"Oh, you’re such a gentleman. Come on! We’re going to my place!"
43078,Chandler,Are you eating the cheesecake without me?!
43079,Rachel,Mm-mmm.
43080,Chandler,I will give you a hundred dollars to whistle right now. How can you eat the cheesecake without me?!
43081,Rachel,"Oh, what are you going to do?! Are you gonna go run tell Monica?! Are you gonna tell Joey?! No! Because then you will have to tell them what we did! We are dessert stealers! We are living outside the law!"
43082,Chandler,"Y’know what? I don’t trust you with this cake anymore! And I got it first, and I’m takin’ it back!"
43083,Rachel,What?! What?!
43084,Chandler,Oh yes!
43085,Rachel,Wait a minute!
43086,Chandler,Oh yes!
43087,Rachel,"Oh no-no-no-no-no, no you don’t!"
43088,Chandler,Oh yes! Oh yes!
43089,Rachel,You think I trust you with it?! No! We’re gonna split it! You take half and I take half!
